Prompting-Strategy,Exp-Name,Version,Template,Input,Rationale
Chain-of-thought,CoT_w_diff_commit_0,1.3.0.1,"You are an expert Java Developer. Analyze these code diffs from code commit. Explain step by step the reasoning behind the following code change:

Code Diff:
{diff}

Commit Message:
{commit_message}

Step 1: Explain what has changed in Code Diff.
Step 2: Analyze the Commit Message.
Step 3: Explain why the code change has been done.

Provide a detailed rationale (in maximum 50 word):","You are an expert Java Developer. Analyze these code diffs from code commit. Explain step by step the reasoning behind the following code change:

Code Diff:
-		if (!cookies.isEmpty()) {
-			this.builder.header(HttpHeaders.COOKIE, cookies.values().stream()
-					.flatMap(List::stream).map(HttpCookie::toString).collect(Collectors.joining("";"")));
+		if (cookies.isEmpty()) {
+			return;
+		this.builder.header(HttpHeaders.COOKIE, cookies.values().stream()
+				.flatMap(List::stream).map(HttpCookie::toString).collect(Collectors.joining("";"")));

Commit Message:
Polishing contribution

Closes gh-32799


Step 1: Explain what has changed in Code Diff.
Step 2: Analyze the Commit Message.
Step 3: Explain why the code change has been done.

Provide a detailed rationale (in maximum 50 word):",The code needs to be polished.
Chain-of-thought,CoT_w_diff_commit_0,1.3.0.1,"You are an expert Java Developer. Analyze these code diffs from code commit. Explain step by step the reasoning behind the following code change:

Code Diff:
{diff}

Commit Message:
{commit_message}

Step 1: Explain what has changed in Code Diff.
Step 2: Analyze the Commit Message.
Step 3: Explain why the code change has been done.

Provide a detailed rationale (in maximum 50 word):","You are an expert Java Developer. Analyze these code diffs from code commit. Explain step by step the reasoning behind the following code change:

Code Diff:
+import org.springframework.core.SpringProperties;
+ * @author Sebastien Deleuze
+	/**
+	 * Boolean flag controlled by a {@code spring.xml.ignore} system property that instructs Spring to
+	 * ignore XML, i.e. to not initialize the XML-related infrastructure.
+	 * <p>The default is ""false"".
+	 */
+	private static final boolean shouldIgnoreXml = SpringProperties.getFlag(""spring.xml.ignore"");
+	
+
+				else if (shouldIgnoreXml) {
+					throw new UnsupportedOperationException(""XML support disabled"");
+				}

Commit Message:
Leverage spring.ignore.xml flag to avoid XmlBeanDefinitionReader

Closes gh-25338


Step 1: Explain what has changed in Code Diff.
Step 2: Analyze the Commit Message.
Step 3: Explain why the code change has been done.

Provide a detailed rationale (in maximum 50 word):",ConfigurationClassBeanDefinitionReader should have a flag that indicate whether Spring is instructed to ignore XML and add avoid returning XmlBeanDefinitionReader if the flag is false.
Chain-of-thought,CoT_w_diff_commit_0,1.3.0.1,"You are an expert Java Developer. Analyze these code diffs from code commit. Explain step by step the reasoning behind the following code change:

Code Diff:
{diff}

Commit Message:
{commit_message}

Step 1: Explain what has changed in Code Diff.
Step 2: Analyze the Commit Message.
Step 3: Explain why the code change has been done.

Provide a detailed rationale (in maximum 50 word):","You are an expert Java Developer. Analyze these code diffs from code commit. Explain step by step the reasoning behind the following code change:

Code Diff:
-			if (!this.inputStream.isFinished() && this.inputStream.isReady()) {
+			if (this.inputStream.isReady() && !this.inputStream.isFinished()) {

Commit Message:
Invert the check for ServletInputStream.isReady()

When checking whether there is still request body the first method
that should be checked is ServletInputStream.isReady() and then
ServletInputStream.isFinished(). ServletInputStream.isReady() is the active
method whereas the ServletInputStream.isFinished() is not.
It is important to call ServletInputStream.isReady() because if it returns
false it will schedule a dispatch and if the request body is already read it will
send onAllDataRead event.

Issue: SPR-16521


Step 1: Explain what has changed in Code Diff.
Step 2: Analyze the Commit Message.
Step 3: Explain why the code change has been done.

Provide a detailed rationale (in maximum 50 word):","ServletInputStream.isReady() should be called before ServletInputStream.isFinished() because if request body is already read, ServletInputStream.isReady() will not be called which is needed to schedule a dispatch and send a onAllDataRead event. "
Chain-of-thought,CoT_w_diff_commit_0,1.3.0.1,"You are an expert Java Developer. Analyze these code diffs from code commit. Explain step by step the reasoning behind the following code change:

Code Diff:
{diff}

Commit Message:
{commit_message}

Step 1: Explain what has changed in Code Diff.
Step 2: Analyze the Commit Message.
Step 3: Explain why the code change has been done.

Provide a detailed rationale (in maximum 50 word):","You are an expert Java Developer. Analyze these code diffs from code commit. Explain step by step the reasoning behind the following code change:

Code Diff:
+		Class<?>[] parameterTypes = null;
-			Class<?>[] ifcs = current.getInterfaces();
-			for (Class<?> ifc : ifcs) {
+			if (parameterTypes == null) {
+				// Since Method#getParameterTypes() clones the array, we lazily retrieve
+				// and cache parameter types to avoid cloning the array multiple times.
+				parameterTypes = method.getParameterTypes();
+			}
+			for (Class<?> ifc : current.getInterfaces()) {
-					return ifc.getMethod(method.getName(), method.getParameterTypes());
+					return ifc.getMethod(method.getName(), parameterTypes);

Commit Message:
Cache parameter types array in ClassUtils.findInterfaceMethodIfPossible()

nan

Step 1: Explain what has changed in Code Diff.
Step 2: Analyze the Commit Message.
Step 3: Explain why the code change has been done.

Provide a detailed rationale (in maximum 50 word):","The Method#getParameterTypes() method clones the array of parameter types whenever it is called. To avoid cloning the array multiple times, the parameter types are retrieved lazily."
Chain-of-thought,CoT_w_diff_commit_0,1.3.0.1,"You are an expert Java Developer. Analyze these code diffs from code commit. Explain step by step the reasoning behind the following code change:

Code Diff:
{diff}

Commit Message:
{commit_message}

Step 1: Explain what has changed in Code Diff.
Step 2: Analyze the Commit Message.
Step 3: Explain why the code change has been done.

Provide a detailed rationale (in maximum 50 word):","You are an expert Java Developer. Analyze these code diffs from code commit. Explain step by step the reasoning behind the following code change:

Code Diff:
+	@Override
+	@Override
-		boolean endsWithSlash = pattern.endsWith(""/"");
-			if (!endsWithSlash && this.pathMatcher.match(pattern + ""/"", lookupPath)) {
+			if (!pattern.endsWith(""/"") && this.pathMatcher.match(pattern + ""/"", lookupPath)) {
+	@Override

Commit Message:
Delay check if pattern ends with slash

This is a minor fix with no actual impact.

Issue: SPR-10504


Step 1: Explain what has changed in Code Diff.
Step 2: Analyze the Commit Message.
Step 3: Explain why the code change has been done.

Provide a detailed rationale (in maximum 50 word):",endsWithSlash initialization should be moved inside if statement as it is not used anywhere else in the function
Chain-of-thought,CoT_w_diff_commit_0,1.3.0.1,"You are an expert Java Developer. Analyze these code diffs from code commit. Explain step by step the reasoning behind the following code change:

Code Diff:
{diff}

Commit Message:
{commit_message}

Step 1: Explain what has changed in Code Diff.
Step 2: Analyze the Commit Message.
Step 3: Explain why the code change has been done.

Provide a detailed rationale (in maximum 50 word):","You are an expert Java Developer. Analyze these code diffs from code commit. Explain step by step the reasoning behind the following code change:

Code Diff:
-					this.columnLabelMap.put(rsmd.getColumnLabel(i), i);
+					String key = rsmd.getColumnLabel(i);
+					// Make sure to preserve first matching column for any given name,
+					// as defined in ResultSet's type-level javadoc (lines 81 to 83).
+					if (!this.columnLabelMap.containsKey(key)) {
+						this.columnLabelMap.put(key, i);
+					}

Commit Message:
ResultSetWrappingSqlRowSet preserves first matching column per name (as defined in ResultSet's javadoc)

Issue: SPR-11786


Step 1: Explain what has changed in Code Diff.
Step 2: Analyze the Commit Message.
Step 3: Explain why the code change has been done.

Provide a detailed rationale (in maximum 50 word):",ResultSetWrappingSqlRowSet should preserve first matching column with a column name in case there are several columns that have the same names.
Chain-of-thought,CoT_w_diff_commit_0,1.3.0.1,"You are an expert Java Developer. Analyze these code diffs from code commit. Explain step by step the reasoning behind the following code change:

Code Diff:
{diff}

Commit Message:
{commit_message}

Step 1: Explain what has changed in Code Diff.
Step 2: Analyze the Commit Message.
Step 3: Explain why the code change has been done.

Provide a detailed rationale (in maximum 50 word):","You are an expert Java Developer. Analyze these code diffs from code commit. Explain step by step the reasoning behind the following code change:

Code Diff:
-				if (constructor.getParameterCount() == 9) {
+				if (constructor.getParameterTypes().length == 9) {

Commit Message:
Polish

Constructor.getParameterCount is JDK8+ only!


Step 1: Explain what has changed in Code Diff.
Step 2: Analyze the Commit Message.
Step 3: Explain why the code change has been done.

Provide a detailed rationale (in maximum 50 word):","Constructor.getParameterCount() was introduced in Java 8, while Constructor.getParameterTypes() has been available since earlier versions of Java. To ensure compatibility with all Java versions, it is safer to use getParameterTypes().length"
Chain-of-thought,CoT_w_diff_commit_0,1.3.0.1,"You are an expert Java Developer. Analyze these code diffs from code commit. Explain step by step the reasoning behind the following code change:

Code Diff:
{diff}

Commit Message:
{commit_message}

Step 1: Explain what has changed in Code Diff.
Step 2: Analyze the Commit Message.
Step 3: Explain why the code change has been done.

Provide a detailed rationale (in maximum 50 word):","You are an expert Java Developer. Analyze these code diffs from code commit. Explain step by step the reasoning behind the following code change:

Code Diff:
-					else if (nonSyntheticConstructors == 2 && primaryConstructor != null && defaultConstructor != null) {
+					else if (nonSyntheticConstructors == 2 && primaryConstructor != null
+							&& defaultConstructor != null && !primaryConstructor.equals(defaultConstructor)) {

Commit Message:
Fix Kotlin bean w/ default + secondary ctors handling

This commit polishes SPR-16022 fix in order to handle correctly
the case when primary and default constructors are the same when
a secondary constructor is defined.

Issue: SPR-16289


Step 1: Explain what has changed in Code Diff.
Step 2: Analyze the Commit Message.
Step 3: Explain why the code change has been done.

Provide a detailed rationale (in maximum 50 word):","SPR-16022 treated the primary constructor and the default constructor as always different. However, they can be the same in some cases so this scenario needed to be handled."
Chain-of-thought,CoT_w_diff_commit_0,1.3.0.1,"You are an expert Java Developer. Analyze these code diffs from code commit. Explain step by step the reasoning behind the following code change:

Code Diff:
{diff}

Commit Message:
{commit_message}

Step 1: Explain what has changed in Code Diff.
Step 2: Analyze the Commit Message.
Step 3: Explain why the code change has been done.

Provide a detailed rationale (in maximum 50 word):","You are an expert Java Developer. Analyze these code diffs from code commit. Explain step by step the reasoning behind the following code change:

Code Diff:
-
-			if (InMemoryWebSessionStore.this.sessions.remove(currentId) == null) {
-				return Mono.error(new IllegalStateException(
-						""Failed to change session id: "" + currentId +
-								"" because the Session is no longer present in the store.""));
-			}
+			InMemoryWebSessionStore.this.sessions.remove(currentId);

Commit Message:
Remove unnecessary assertion

Issue: SPR-16201


Step 1: Explain what has changed in Code Diff.
Step 2: Analyze the Commit Message.
Step 3: Explain why the code change has been done.

Provide a detailed rationale (in maximum 50 word):",When the session is new InMemoryWebSessionStore.this.sessions.remove(currentId) returns null. The method should support changing the id even if the session is new.
Chain-of-thought,CoT_w_diff_commit_0,1.3.0.1,"You are an expert Java Developer. Analyze these code diffs from code commit. Explain step by step the reasoning behind the following code change:

Code Diff:
{diff}

Commit Message:
{commit_message}

Step 1: Explain what has changed in Code Diff.
Step 2: Analyze the Commit Message.
Step 3: Explain why the code change has been done.

Provide a detailed rationale (in maximum 50 word):","You are an expert Java Developer. Analyze these code diffs from code commit. Explain step by step the reasoning behind the following code change:

Code Diff:
-		if (!c1.isInterface() && c1 != Object.class) {
-			// Try early initialization for overridden methods on subclasses
+		if (!c1.isInterface() && c1 != Object.class && !Factory.class.isAssignableFrom(c2)) {
+			// Try early initialization for overridden methods on specifically purposed subclasses

Commit Message:
Narrow early initialization of CGLIB method proxies (for AOT processing)

Do not trigger early initialization on Factory classes (e.g. AOP proxies)

See gh-29107


Step 1: Explain what has changed in Code Diff.
Step 2: Analyze the Commit Message.
Step 3: Explain why the code change has been done.

Provide a detailed rationale (in maximum 50 word):",Factory classes shouldn't have early initialization.
