Prompting-Strategy,Exp-Name,Version,Template,Instruction,Rationale,Generated Rationale
Zero-shot,ZS_w_commit_issue_0,1.1.0.2,"You are an expert Java Developer. Analyze these code diffs from code commit. Generate a rationale (in maximum 50 word) explaining the reasoning behind the following code change.

Code Diff:
{diff}

Commit Message:
{commit_message}

Related Texts(If Any):
{related_text}

Generate Rationale (in maximum 50 word):","You are an expert Java Developer. Analyze these code diffs from code commit. Generate a rationale (in maximum 50 word) explaining the reasoning behind the following code change.

Code Diff:
-			if (!this.inputStream.isFinished() && this.inputStream.isReady()) {
+			if (this.inputStream.isReady() && !this.inputStream.isFinished()) {

Commit Message:
Invert the check for ServletInputStream.isReady()

When checking whether there is still request body the first method
that should be checked is ServletInputStream.isReady() and then
ServletInputStream.isFinished(). ServletInputStream.isReady() is the active
method whereas the ServletInputStream.isFinished() is not.
It is important to call ServletInputStream.isReady() because if it returns
false it will schedule a dispatch and if the request body is already read it will
send onAllDataRead event.

Issue: SPR-16521


Related Texts(If Any):
The implementation should check first the active method isReady and then isFinished as the last is not active.
In the scenario above in case the request body is read, the current implementation will not invoke isReady and thus Tomcat will not schedule a dispatch, and onAllDataRead event will never be called.
When checking whether there is still request body the first method
that should be checked is ServletInputStream.isReady() and then
ServletInputStream.isFinished(). ServletInputStream.isReady() is the active
method whereas the ServletInputStream.isFinished() is not.
It is important to call ServletInputStream.isReady() because if it returns
false it will schedule a dispatch and if the request body is already read it will
send onAllDataRead event.

Generate Rationale (in maximum 50 word):","RATIONALE:
ServletInputStream.isReady() should be called before ServletInputStream.isFinished() because if request body is already read, ServletInputStream.isReady() will not be called which is needed to schedule a dispatch and send a onAllDataRead event. ","The change prioritizes checking isReady() before isFinished() to properly schedule dispatches and ensure onAllDataRead events are triggered when required, preventing erroneous bypass due to incorrect method order."
Zero-shot,ZS_w_commit_issue_0,1.1.0.2,"You are an expert Java Developer. Analyze these code diffs from code commit. Generate a rationale (in maximum 50 word) explaining the reasoning behind the following code change.

Code Diff:
{diff}

Commit Message:
{commit_message}

Related Texts(If Any):
{related_text}

Generate Rationale (in maximum 50 word):","You are an expert Java Developer. Analyze these code diffs from code commit. Generate a rationale (in maximum 50 word) explaining the reasoning behind the following code change.

Code Diff:
-				if (constructor.getParameterCount() == 9) {
+				if (constructor.getParameterTypes().length == 9) {

Commit Message:
Polish

Constructor.getParameterCount is JDK8+ only!


Related Texts(If Any):
Constructor.getParameterCount is JDK8+ only!

Generate Rationale (in maximum 50 word):","RATIONALE:
Constructor.getParameterCount() was introduced in Java 8, while Constructor.getParameterTypes() has been available since earlier versions of Java. To ensure compatibility with all Java versions, it is safer to use getParameterTypes().length",Replaced getParameterCount with getParameterTypes().length to ensure compatibility with pre-JDK8 environments while maintaining functionality.
Zero-shot,ZS_w_commit_issue_0,1.1.0.2,"You are an expert Java Developer. Analyze these code diffs from code commit. Generate a rationale (in maximum 50 word) explaining the reasoning behind the following code change.

Code Diff:
{diff}

Commit Message:
{commit_message}

Related Texts(If Any):
{related_text}

Generate Rationale (in maximum 50 word):","You are an expert Java Developer. Analyze these code diffs from code commit. Generate a rationale (in maximum 50 word) explaining the reasoning behind the following code change.

Code Diff:
-		if (!c1.isInterface() && c1 != Object.class) {
+		if (!c1.isInterface() && c1 != Object.class && !Factory.class.isAssignableFrom(c2)) {

Commit Message:
Narrow early initialization of CGLIB method proxies (for AOT processing)

Do not trigger early initialization on Factory classes (e.g. AOP proxies)

See gh-29107


Related Texts(If Any):
Do not trigger early initialization on Factory classes (e.g. AOP proxies)

Generate Rationale (in maximum 50 word):","RATIONALE:
Factory classes shouldn't have early initialization.","Prevents early initialization of CGLIB method proxies for Factory classes, which could interfere with advanced AOT scenarios like Spring AOP proxies."
Zero-shot,ZS_w_commit_issue_0,1.1.0.2,"You are an expert Java Developer. Analyze these code diffs from code commit. Generate a rationale (in maximum 50 word) explaining the reasoning behind the following code change.

Code Diff:
{diff}

Commit Message:
{commit_message}

Related Texts(If Any):
{related_text}

Generate Rationale (in maximum 50 word):","You are an expert Java Developer. Analyze these code diffs from code commit. Generate a rationale (in maximum 50 word) explaining the reasoning behind the following code change.

Code Diff:
-			Assert.state(compilablePropertyAccessor != null, ""No cached read accessor"");
+			Assert.state(compilablePropertyAccessor != null, ""No cached PropertyAccessor for reading"");

Commit Message:
Polishing

nan

Related Texts(If Any):
Polishing

Generate Rationale (in maximum 50 word):","RATIONALE:
POLISH","Refines the error message for clarity, aligning terminology with the context of property accessors for consistency and improved readability."
Zero-shot,ZS_w_commit_issue_0,1.1.0.2,"You are an expert Java Developer. Analyze these code diffs from code commit. Generate a rationale (in maximum 50 word) explaining the reasoning behind the following code change.

Code Diff:
{diff}

Commit Message:
{commit_message}

Related Texts(If Any):
{related_text}

Generate Rationale (in maximum 50 word):","You are an expert Java Developer. Analyze these code diffs from code commit. Generate a rationale (in maximum 50 word) explaining the reasoning behind the following code change.

Code Diff:
-					else if (nonSyntheticConstructors == 2 && primaryConstructor != null && defaultConstructor != null) {
+					else if (nonSyntheticConstructors == 2 && primaryConstructor != null
+							&& defaultConstructor != null && !primaryConstructor.equals(defaultConstructor)) {

Commit Message:
Fix Kotlin bean w/ default + secondary ctors handling

This commit polishes SPR-16022 fix in order to handle correctly
the case when primary and default constructors are the same when
a secondary constructor is defined.

Issue: SPR-16289


Related Texts(If Any):
This commit polishes SPR-16022 fix in order to handle correctly
the case when primary and default constructors are the same when
a secondary constructor is defined.

Generate Rationale (in maximum 50 word):","RATIONALE:
SPR-16022 treated the primary constructor and the default constructor as always different. However, they can be the same in some cases so this scenario needed to be handled.","Ensures primary and default constructors are correctly differentiated, avoiding misidentification when both constructors are the same in Kotlin, particularly with secondary constructors present."
Zero-shot,ZS_w_commit_issue_0,1.1.0.2,"You are an expert Java Developer. Analyze these code diffs from code commit. Generate a rationale (in maximum 50 word) explaining the reasoning behind the following code change.

Code Diff:
{diff}

Commit Message:
{commit_message}

Related Texts(If Any):
{related_text}

Generate Rationale (in maximum 50 word):","You are an expert Java Developer. Analyze these code diffs from code commit. Generate a rationale (in maximum 50 word) explaining the reasoning behind the following code change.

Code Diff:
+			if (method == null) {
+				return true;
+			}

Commit Message:
Avoid NPE in AutowiredAnnotationBeanPostProcessor

Prior to this change, AABPP#determineRequiredStatus never checked the
return value of ReflectionUtils#findMethod when searching for a
'#required' attribute. This call returns null for annotations such as
@Inject, @Value and @Resource, and subsequently causes a
NullPointerException to be thrown when ReflectionUtils#invokeMethod is
called. The NPE is caught immediately and #determineRequiredStatus
returns defaulting to true, but this this approach is inefficient. It
is also problematic for users who have set breakpoints on NPE -- they
end up debugging into Spring internals, which is a false positive.

This commit checks the return value of of ReflectionUtils#findMethod,
and in the case of null, eagerly returns true.  There is no change to
external behavior, simply a more efficient and debugging-friendly
implementation.

Existing test cases already cover this change, given that it is purely
a refactoring.

Issue: SPR-9316


Related Texts(If Any):
AutowiredAnnotationBeanPostProcessor.determineRequiredStatus uses ReflectionUtils.findMethod to look up a method named ""required"". If there is no such method then ReflectionUtils.findMethod returns null. However AutowiredAnnotationBeanPostProcessor.determineRequiredStatus never checks for null instead it directly passes the method to ReflectionUtils.invokeMethod which throws a NullPointerException which is then caught in a catch (Exception ex) block in AutowiredAnnotationBeanPostProcessor.determineRequiredStatus.
Annoations that don't have a method named ""required"" include @Inject @Value @Resource.
This is not so nice for several reasons:

when you debug one of your own NullPointerExceptions and set an exception breakpoint on NullPointerException you end up in Spring code
it uses NullPointerExceptions and catching them as part of normal control flow
filling in the stack trace of an exception is slow
// annotations like @Inject, @Value and @Resource don't have a method410+				// (attribute) named ""required"" -> default to required status
Avoid NPE in AutowiredAnnotationBeanPostProcessor
Prior to this change, AABPP#determineRequiredStatus never checked the
return value of ReflectionUtils#findMethod when searching for a
'#required' attribute. This call returns null for annotations such as
@Inject, @value and @resource, and subsequently causes a
NullPointerException to be thrown when ReflectionUtils#invokeMethod is
called. The NPE is caught immediately and #determineRequiredStatus
returns defaulting to true, but this this approach is inefficient. It
is also problematic for users who have set breakpoints on NPE -- they
end up debugging into Spring internals, which is a false positive.

This commit checks the return value of of ReflectionUtils#findMethod,
and in the case of null, eagerly returns true.  There is no change to
external behavior, simply a more efficient and debugging-friendly
implementation.

Generate Rationale (in maximum 50 word):","RATIONALE:
The ReflectionUtils#findMethod method returns null for annotations like @Inject, @Value, and @Resource that do not have a method named required. In such cases, it should return the default value.","Avoids inefficient and debugging-unfriendly NPEs by directly returning if a required method is not found, improving implementation and reducing debugging false positives."
Zero-shot,ZS_w_commit_issue_0,1.1.0.2,"You are an expert Java Developer. Analyze these code diffs from code commit. Generate a rationale (in maximum 50 word) explaining the reasoning behind the following code change.

Code Diff:
{diff}

Commit Message:
{commit_message}

Related Texts(If Any):
{related_text}

Generate Rationale (in maximum 50 word):","You are an expert Java Developer. Analyze these code diffs from code commit. Generate a rationale (in maximum 50 word) explaining the reasoning behind the following code change.

Code Diff:
-					if (lastValue != null &&
-							!ObjectUtils.nullSafeEquals(lastValue, value)) {
+					if (lastValue != null && !ObjectUtils.nullSafeEquals(lastValue, value)) {

Commit Message:
Polishing

nan

Related Texts(If Any):
Polishing

Generate Rationale (in maximum 50 word):","RATIONALE:
POLISH","Streamlines the check logic for null-safe equality, ensuring the code remains functionally equivalent while improving readability."
Zero-shot,ZS_w_commit_issue_0,1.1.0.2,"You are an expert Java Developer. Analyze these code diffs from code commit. Generate a rationale (in maximum 50 word) explaining the reasoning behind the following code change.

Code Diff:
{diff}

Commit Message:
{commit_message}

Related Texts(If Any):
{related_text}

Generate Rationale (in maximum 50 word):","You are an expert Java Developer. Analyze these code diffs from code commit. Generate a rationale (in maximum 50 word) explaining the reasoning behind the following code change.

Code Diff:
+	private static final ResolvableType VOID_TYPE = ResolvableType.forClass(Void.class);
-		if (elementType.equals(ResolvableType.forClass(Void.class))) {
+		if (VOID_TYPE.equals(elementType)) {

Commit Message:
Polishing

nan

Related Texts(If Any):
Polishing

Generate Rationale (in maximum 50 word):","RATIONALE:
POLISH","Uses a cached constant for Void.class checks, optimizing performance by reducing repeated method calls to generate the same type."
Zero-shot,ZS_w_commit_issue_0,1.1.0.2,"You are an expert Java Developer. Analyze these code diffs from code commit. Generate a rationale (in maximum 50 word) explaining the reasoning behind the following code change.

Code Diff:
{diff}

Commit Message:
{commit_message}

Related Texts(If Any):
{related_text}

Generate Rationale (in maximum 50 word):","You are an expert Java Developer. Analyze these code diffs from code commit. Generate a rationale (in maximum 50 word) explaining the reasoning behind the following code change.

Code Diff:
-		Set<String> ignoreSet = (ignoreProperties != null ? new HashSet<>(Arrays.asList(ignoreProperties)) : null);
+		Set<String> ignoredProps = (ignoreProperties != null ? new HashSet<>(Arrays.asList(ignoreProperties)) : null);
-			if (writeMethod != null && (ignoreSet == null || !ignoreSet.contains(targetPd.getName()))) {
+			if (writeMethod != null && (ignoredProps == null || !ignoredProps.contains(targetPd.getName()))) {

Commit Message:
Polishing

nan

Related Texts(If Any):
Polishing

Generate Rationale (in maximum 50 word):","RATIONALE:
POLISH","Enhances code readability and intent by renaming ignoreSet to ignoredProps, aligning with standard naming conventions and better reflecting the purpose."
Zero-shot,ZS_w_commit_issue_0,1.1.0.2,"You are an expert Java Developer. Analyze these code diffs from code commit. Generate a rationale (in maximum 50 word) explaining the reasoning behind the following code change.

Code Diff:
{diff}

Commit Message:
{commit_message}

Related Texts(If Any):
{related_text}

Generate Rationale (in maximum 50 word):","You are an expert Java Developer. Analyze these code diffs from code commit. Generate a rationale (in maximum 50 word) explaining the reasoning behind the following code change.

Code Diff:
+import org.springframework.core.KotlinDetector;
-				if (ReflectionUtils.declaresException(getMethod(), ex.getClass())) {
+				if (ReflectionUtils.declaresException(getMethod(), ex.getClass()) ||
+						KotlinDetector.isKotlinType(getMethod().getDeclaringClass())) {

Commit Message:
Always propagate checked exceptions from Kotlin code behind CGLIB proxies

Closes gh-23844


Related Texts(If Any):
Spring AOP should not apply UndeclaredThrowableException to checked exceptions from Kotlin methods
within Spring AOP - we'd even turn a checked exception thrown from a Kotlin target method into an UndeclaredThrowableException, not just a checked exception thrown from an interceptor (which is the primary purpose of that check). While this works fine with Java code that explicitly declares those exceptions on the target method (so undeclared exceptions can only really come out of the interceptor), it's really not appropriate for Kotlin code since it enforces a non-idiomatic @Throws declaration there.
// Propagate original exception if declared on the target method759+					// (with callers expecting it). Always propagate it for Kotlin code760+					// since checked exceptions do not have to be explicitly declared there.

Generate Rationale (in maximum 50 word):","RATIONALE:
UndeclaredThrowableException is thrown when a checked exception from any method is received. This doesn't apply to Kotlin since Kotlin does not have checked exceptions. ","Ensures checked exceptions from Kotlin methods behind CGLIB proxies propagate correctly, addressing non-idiomatic behavior with @Throws and avoiding UndeclaredThrowableException."
