ZS_w_diff_0,ZS_w_diff_commit_0,ZS_w_diff_commit_rel_text_0,FS_w_diff_k,FS_w_diff_commit_k,FS_w_diff_commit_rel_text_k,CoT_w_diff_0,CoT_w_diff_commit_0,CoT_w_diff_commit_rel_text_0
0.4498732686042785,0.4756122231483459,0.4676093757152557,0.4385414123535156,0.4594767093658447,0.4297835826873779,0.4250739216804504,0.4009986519813537,0.3841103613376617
0.5150339603424072,0.5425081253051758,0.6515167951583862,0.549885094165802,0.5084858536720276,0.5598133206367493,0.5207518339157104,0.5589158535003662,0.5815858244895935
0.4675298035144806,0.7058002352714539,0.7092463374137878,0.5246362090110779,0.6609067320823669,0.6981680989265442,0.4816041588783264,0.5701701641082764,0.6303077936172485
0.6782657504081726,0.6811270117759705,0.6811270117759705,0.618209183216095,0.5905137658119202,0.5498928427696228,0.6481202840805054,0.6163997650146484,0.6021022796630859
0.5255039930343628,0.5357804894447327,0.5647505521774292,0.5284280776977539,0.4864543676376343,0.5700795650482178,0.4820813536643982,0.4564496874809265,0.5971306562423706
0.5731456875801086,0.6336725354194641,0.6311236023902893,0.5591673851013184,0.6510043144226074,0.6132335066795349,0.5441201329231262,0.5513978600502014,0.5507349967956543
0.6459413170814514,0.6881809234619141,0.5401487946510315,0.4887483716011047,0.5104427933692932,0.6267004609107971,0.5953447818756104,0.6877501606941223,0.6546303629875183
0.5719930529594421,0.6276314854621887,0.6339457035064697,0.5309708118438721,0.5894121527671814,0.5764451622962952,0.5238995552062988,0.556437075138092,0.542740523815155
0.6489744186401367,0.5933644771575928,0.5529194474220276,0.5441914200782776,0.526788055896759,0.6428233981132507,0.5525152683258057,0.5317313075065613,0.59805828332901
0.5089726448059082,0.5363028645515442,0.5188443064689636,0.4951053559780121,0.5396521687507629,0.5205568671226501,0.4475609362125397,0.4013334512710571,0.4039496481418609
0.5834561586380005,0.5946234464645386,0.5576133728027344,0.5961214900016785,0.5730811357498169,0.5399289131164551,0.6472941040992737,0.6204870343208313,0.6055703163146973
0.2113918215036392,0.2084850221872329,0.226945012807846,0.1978633999824524,0.2145401090383529,0.2142459154129028,0.2010408639907837,0.2158212661743164,0.2027783244848251
0.6385987401008606,0.5690473318099976,0.573434591293335,0.6877979636192322,0.5788333415985107,0.5370742678642273,0.6123549938201904,0.5188611149787903,0.6108037233352661
0.2088863253593444,0.2415993809700012,0.2371821254491806,0.2105201184749603,0.201885774731636,0.1928481012582779,0.197072684764862,0.1973178535699844,0.2041375339031219
0.6247064471244812,0.6411898732185364,0.6422739028930664,0.5815804600715637,0.5930359363555908,0.6106919646263123,0.4494173526763916,0.4606450796127319,0.4602619111537933
0.188886746764183,0.212500125169754,0.2072549760341644,0.1980798244476318,0.1981847882270813,0.1969742476940155,0.1726408898830413,0.2090712487697601,0.2062878608703613
0.2067704796791076,0.2121229171752929,0.2127166986465454,0.1977497488260269,0.1895764023065567,0.1993644833564758,0.1877330988645553,0.1945010721683502,0.2047391980886459
0.2201051563024521,0.2064505666494369,0.2224950790405273,0.2044918537139892,0.2022513300180435,0.2268697172403335,0.1977892071008682,0.1962584853172302,0.1907775253057479
0.6046656966209412,0.5807408094406128,0.6231912970542908,0.5743708610534668,0.5694389939308167,0.5972943305969238,0.5379497408866882,0.5551757216453552,0.5444170236587524
